Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
COM,632,Comoros,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,2.31,-34.45,,,,,,,,
COG,634,"Congo, Rep.",Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.11,10.93,4.92,0.2,-0.03,1.89,3.37,3.35,3.5,5.35,2.67,,,,
CRI,238,Costa Rica,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,18.2,14.46,10.86,10.24,12.48,8.99,8.71,10.38,9.61,11.54,11.4,5.6,6.37,5.75,5.71,4.59,4.59,3.69,5.04,-0.15,0.26,1.67,2.16,2.78,0.63,2.07
CIV,662,Côte d'Ivoire,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.92,2.87,4.21,3.94,1.73,2.24,4.22,3.52,2.36,0.51,3.79,0.51,-1.8,2.59,2.03,3.08,1.58,0.75,-0.44,0.71,0.49,-0.19,1.31,2.1
HRV,960,Croatia,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.32,2.72,3.43,2.13,1.21,1.33,1.23,0.55,0.48,-1.11,-1.14,1.1,1.47,0.69,-0.4,
CYP,423,Cyprus,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56,2.18,3.77,1.58,2.29,1.36,1.71,3.61,0.05,2.03,1.88,1.21,0.08,-0.61,-1.37,-1.06,-0.07,0.93,-0.4,-0.6,
CZE,935,Czech Republic,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,8.24,7.96,8.74,3.83,3.88,3.25,2.61,0.68,2.31,2.22,2.4,1.9,4.67,1.72,1.43,0.53,1.31,-0.16,0.02,0.76,1.41,1.45,2.32,2.27,2.63,5.74
DNK,128,Denmark,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69,2.26,2.06,1.13,1.47,1.21,0.71,1.95,1.37,2.14,1.88,1.77,0.3,0.5,0.49,0.01,0.64,0.85,0.57,0.44,-2.62
DJI,611,Djibouti,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,-3.53,1.89,0.05,0.32,1.91,,
DMA,321,Dominica,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,0.65,0.76,0.05,0.68,-0.15,0.88,0.58,,
DOM,243,Dominican Republic,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.68,11.06,4.05,25.6,48.44,5.93,8.5,7.38,9.56,-0.48,6.38,4.97,3.48,5.28,2.65,-0.53,1.33,3.29,3.49,1.79,3.05,7.92
